ensemble,GCM,scenario,y2015,y2016,y2017,y2018,y2019,y2020,y2021,y2022,y2023,y2024,y2025,y2026,y2027,y2028,y2029,y2030,y2031,y2032,y2033,y2034,y2035,y2036,y2037,y2038,y2039,y2040,y2041,y2042,y2043,y2044,y2045,y2046,y2047,y2048,y2049,y2050,y2051,y2052,y2053,y2054,y2055,y2056,y2057,y2058,y2059,y2060,y2061,y2062,y2063,y2064,y2065,y2066,y2067,y2068,y2069,y2070,y2071,y2072,y2073,y2074,y2075,y2076,y2077,y2078,y2079,y2080,y2081,y2082,y2083,y2084,y2085,y2086,y2087,y2088,y2089,y2090,y2091,y2092,y2093,y2094,y2095,y2096,y2097,y2098,y2099,y2100
FAIR,FAIR_87,FACTS,0.29173,0.320325,0.345263,0.370378,0.398203,0.430698,0.467011,0.505835,0.545739,0.58454,0.620202,0.651982,0.680727,0.708368,0.735824,0.763406,0.791478,0.820626,0.852944,0.890393,0.930615,0.971822,1.012323,1.051389,1.088893,1.123891,1.157385,1.191084,1.226645,1.265012,1.308025,1.355464,1.405862,1.457052,1.505517,1.549478,1.590365,1.630079,1.66937,1.70981,1.75342,1.800979,1.85013,1.89915,1.948293,1.995728,2.040534,2.083857,2.12702,2.171006,2.216514,2.265415,2.318229,2.37308,2.427359,2.479218,2.528314,2.575891,2.623264,2.670363,2.717489,2.765078,2.813812,2.864991,2.918904,2.974583,3.030189,3.084531,3.136619,3.186491,3.233939,3.279091,3.323783,3.368911,3.415507,3.464903,3.516505,3.569619,3.621471,3.668941,3.712537,3.75315,3.792163,3.830797,3.870238,3.912164
FAIR,FAIR_88,FACTS,0.284707,0.31055,0.332857,0.355534,0.381161,0.411433,0.444953,0.480158,0.515876,0.550355,0.582319,0.611545,0.638801,0.665745,0.69306,0.720918,0.749464,0.779092,0.811566,0.848451,0.887518,0.927248,0.966217,1.003954,1.040435,1.074954,1.108383,1.14217,1.177713,1.215743,1.25775,1.303366,1.351245,1.399494,1.44518,1.486992,1.526478,1.565397,1.604347,1.644614,1.687817,1.734445,1.782297,1.829903,1.877544,1.923669,1.967545,2.010232,2.052935,2.096483,2.141429,2.189327,2.240479,2.293152,2.345101,2.394855,2.442279,2.488571,2.534875,2.581079,2.627421,2.674238,2.722085,2.772019,2.824186,2.877669,2.930767,2.982463,3.032007,3.079562,3.125014,3.168563,3.211832,3.255542,3.300521,3.347819,3.396751,3.446644,3.495087,3.539543,3.580681,3.6194,3.656961,3.69439,3.732653,3.773097
FAIR,FAIR_89,FACTS,0.339876,0.37246,0.399167,0.42407,0.45051,0.481066,0.516699,0.557272,0.601436,0.647327,0.693429,0.738998,0.78412,0.829719,0.876209,0.923646,0.971365,1.019046,1.068304,1.120739,1.175107,1.230322,1.285323,1.339544,1.392865,1.44457,1.495085,1.545397,1.596722,1.649851,1.706181,1.765811,1.827913,1.891119,1.953022,2.012223,2.069093,2.124523,2.17909,2.233938,2.290576,2.349753,2.41011,2.470534,2.531178,2.590822,2.648778,2.705741,2.762548,2.819881,2.878267,2.939035,3.002705,3.068161,3.133685,3.197936,3.260601,3.322423,3.384192,3.445838,3.507529,3.569553,3.63238,3.696927,3.763489,3.831509,3.899932,3.967998,4.034872,4.100369,4.164207,4.226315,4.287823,4.349334,4.411574,4.475522,4.540926,4.607391,4.673102,4.735833,4.795691,4.853119,4.908947,4.963991,5.019085,5.075454
FAIR,FAIR_90,FACTS,0.355786,0.386181,0.412246,0.437249,0.463639,0.493214,0.526318,0.562639,0.601194,0.640464,0.679305,0.717232,0.754395,0.791713,0.829634,0.868261,0.907494,0.94743,0.989461,1.034997,1.082824,1.131865,1.181075,1.229863,1.278069,1.324975,1.370939,1.416853,1.463828,1.51259,1.564446,1.6195,1.676989,1.735641,1.793196,1.848318,1.901588,1.954034,2.006096,2.058768,2.113407,2.17068,2.229299,2.288191,2.347469,2.405964,2.4629,2.518815,2.574492,2.630581,2.687587,2.74677,2.808643,2.872191,2.935823,2.998282,3.059197,3.119196,3.17903,3.238646,3.298211,3.358011,3.418493,3.48053,3.54442,3.609662,3.675138,3.740019,3.803566,3.865625,3.925955,3.984497,4.042319,4.100004,4.15825,4.217995,4.279014,4.340943,4.402113,4.460443,4.516015,4.569233,4.620863,4.671672,4.722444,4.774338
FAIR,FAIR_91,FACTS,0.309788,0.337687,0.361469,0.384383,0.409031,0.437308,0.468562,0.501711,0.535882,0.569759,0.602737,0.634802,0.666233,0.69802,0.730579,0.76399,0.797977,0.83254,0.869058,0.908814,0.950425,0.992842,1.035069,1.076683,1.117631,1.157345,1.196457,1.236026,1.277063,1.320142,1.366388,1.415663,1.467066,1.519266,1.570107,1.618497,1.664999,1.710553,1.75571,1.801499,1.849206,1.89935,1.950516,2.001673,2.052996,2.103379,2.152317,2.200555,2.248892,2.297922,2.348069,2.400473,2.45545,2.511847,2.568065,2.622969,2.676478,2.729435,2.782568,2.835769,2.889174,2.943012,2.997679,3.05395,3.111989,3.171194,3.230482,3.289141,3.3465,3.402524,3.457042,3.510102,3.562809,3.615699,3.669399,3.72472,3.781306,3.838737,3.895313,3.949125,4.000489,4.049952,4.098367,4.146487,4.19504,4.24506
FAIR,FAIR_92,FACTS,0.313031,0.339487,0.361691,0.384125,0.40951,0.439616,0.474307,0.512814,0.553556,0.594211,0.632663,0.668025,0.700908,0.733048,0.765288,0.797902,0.831074,0.86523,0.902454,0.94475,0.989955,1.036335,1.08224,1.126879,1.170089,1.210882,1.249852,1.288411,1.328321,1.370667,1.417391,1.468457,1.522551,1.577622,1.630223,1.678507,1.723831,1.768064,1.811915,1.856918,1.905089,1.957279,2.011281,2.065399,2.11984,2.172798,2.223196,2.272011,2.320531,2.369753,2.420408,2.474378,2.532275,2.592354,2.652084,2.709599,2.764405,2.81758,2.870408,2.92285,2.975215,3.027955,3.081765,3.137955,3.196877,3.257647,3.318535,3.378374,3.436126,3.491737,3.544949,3.595819,3.646104,3.696697,3.748642,3.803298,3.860146,3.918526,3.975766,4.028748,4.077836,4.123824,4.168016,4.211616,4.255813,4.302311
FAIR,FAIR_93,FACTS,0.255276,0.281521,0.306455,0.331759,0.359025,0.389445,0.421699,0.454535,0.487405,0.519336,0.549712,0.578496,0.606143,0.633683,0.66157,0.689934,0.718769,0.748262,0.779601,0.813862,0.849749,0.886324,0.922698,0.958533,0.993792,1.028001,1.061647,1.095612,1.130809,1.16774,1.207382,1.249566,1.293475,1.337925,1.381041,1.421921,1.461418,1.500586,1.539819,1.579943,1.622015,1.666401,1.71177,1.757193,1.802819,1.847665,1.89128,1.934327,1.977526,2.021391,2.066277,2.113171,2.162303,2.212617,2.262695,2.311567,2.359165,2.406238,2.453445,2.500686,2.548082,2.595833,2.644281,2.694094,2.74539,2.797611,2.849625,2.900706,2.950335,2.998549,3.045243,3.090507,3.135345,3.180228,3.225702,3.27246,3.320155,3.368402,3.415681,3.460337,3.502707,3.543307,3.582908,3.622165,3.661708,3.702415
FAIR,FAIR_94,FACTS,0.33412,0.366647,0.39479,0.421905,0.450632,0.48318,0.519187,0.557659,0.597444,0.636731,0.673978,0.708595,0.741069,0.772829,0.804578,0.836544,0.868899,0.902029,0.937701,0.977629,1.020064,1.063576,1.106799,1.149058,1.190205,1.2294,1.267573,1.306217,1.346645,1.389643,1.436744,1.487865,1.541866,1.596992,1.650317,1.700235,1.747567,1.793652,1.839127,1.885312,1.933931,1.985744,2.038965,2.092199,2.145627,2.197755,2.247759,2.296501,2.345028,2.394159,2.444503,2.49763,2.554072,2.612391,2.670484,2.726777,2.780966,2.834023,2.886947,2.939659,2.992375,3.045447,3.099432,3.155414,3.213691,3.273532,3.33342,3.392308,3.449317,3.504376,3.557256,3.607987,3.658024,3.70812,3.759155,3.812279,3.867105,3.923109,3.978075,4.029388,4.077322,4.122515,4.16604,4.208903,4.252101,4.297071
FAIR,FAIR_95,FACTS,0.343305,0.379889,0.412678,0.444871,0.479091,0.517657,0.559958,0.604813,0.650858,0.695927,0.737968,0.776148,0.811178,0.84489,0.87821,0.911473,0.944924,0.979058,1.01604,1.057959,1.102686,1.148499,1.193748,1.237634,1.279992,1.319821,1.35819,1.396876,1.437512,1.481084,1.52947,1.582579,1.639034,1.696718,1.752098,1.803249,1.851156,1.897439,1.94292,1.989237,2.03851,2.091671,2.146557,2.201489,2.256696,2.31037,2.361651,2.411687,2.461707,2.51267,2.565276,2.621401,2.681655,2.744267,2.806667,2.86694,2.924677,2.981031,3.037245,3.093241,3.1493,3.205855,3.263591,3.323821,3.386901,3.451936,3.517272,3.581783,3.644365,3.704908,3.763112,3.818997,3.874311,3.929946,3.986948,4.046692,4.108715,4.17239,4.234995,4.293337,4.347741,4.39897,4.448321,4.496999,4.546202,4.597659
FAIR,FAIR_96,FACTS,0.277763,0.30414,0.327539,0.351559,0.37859,0.410374,0.445148,0.481024,0.517031,0.551526,0.583044,0.611179,0.636754,0.661476,0.686138,0.711003,0.736495,0.763188,0.792806,0.826943,0.863492,0.900912,0.937756,0.973441,1.007884,1.040311,1.071525,1.102936,1.135959,1.171378,1.210733,1.253775,1.299226,1.345225,1.38881,1.428541,1.465883,1.502591,1.539237,1.577095,1.617813,1.661963,1.707457,1.752813,1.798254,1.842224,1.883882,1.92418,1.964296,2.005081,2.04713,2.092027,2.140172,2.189927,2.239071,2.286072,2.330713,2.374107,2.417373,2.460427,2.503513,2.546987,2.591418,2.637887,2.686601,2.736705,2.786435,2.834673,2.880661,2.924515,2.966115,3.005625,3.044646,3.083941,3.124382,3.167078,3.21146,3.256909,3.301057,3.341304,3.37817,3.412471,3.445421,3.478056,3.511375,3.546776
FAIR,FAIR_97,FACTS,0.319839,0.345776,0.364178,0.381535,0.402298,0.429165,0.462373,0.500881,0.54293,0.58648,0.630214,0.673653,0.716936,0.761022,0.806245,0.852597,0.89918,0.945608,0.993592,1.044664,1.097371,1.150649,1.20347,1.255454,1.306594,1.356321,1.404887,1.453146,1.502392,1.553377,1.607424,1.664423,1.723425,1.783005,1.84085,1.895833,1.948851,2.001116,2.053172,2.106091,2.161232,2.219094,2.278065,2.336996,2.396081,2.454104,2.510303,2.565369,2.620276,2.675739,2.732261,2.791122,2.852665,2.915619,2.978238,3.039318,3.098706,3.157289,3.215916,3.274491,3.333184,3.392264,3.452173,3.513764,3.577205,3.641824,3.706328,3.769881,3.8318,3.892098,3.950625,4.007471,4.063874,4.120423,4.177802,4.236887,4.297176,4.358141,4.417941,4.474535,4.528342,4.580013,4.630514,4.680676,4.731297,4.78349
FAIR,FAIR_98,FACTS,0.318855,0.350486,0.377714,0.404172,0.432512,0.464877,0.501549,0.542046,0.584704,0.627116,0.66707,0.703658,0.737568,0.770634,0.803741,0.837171,0.871091,0.905935,0.943874,0.986975,1.032963,1.080051,1.126541,1.171651,1.21523,1.256287,1.295978,1.33615,1.378448,1.423835,1.474188,1.529342,1.587843,1.647504,1.70473,1.757622,1.807281,1.85541,1.90286,1.951307,2.002891,2.058511,2.11589,2.173308,2.231014,2.287164,2.340842,2.393205,2.445554,2.498877,2.553891,2.612502,2.675292,2.740408,2.805215,2.867794,2.927813,2.986529,3.045224,3.103813,3.162581,3.221961,3.282645,3.345956,3.41222,3.48049,3.548988,3.616533,3.682054,3.745509,3.806634,3.865504,3.923936,3.982843,4.043284,4.10664,4.172397,4.239895,4.306327,4.368466,4.426717,4.481913,4.535409,4.588439,4.642216,4.698476
FAIR,FAIR_99,FACTS,0.308671,0.33658,0.358728,0.379534,0.402244,0.429075,0.46096,0.497795,0.538116,0.580008,0.621892,0.663023,0.703557,0.74447,0.78619,0.82878,0.871754,0.914952,0.959963,1.008318,1.058671,1.109906,1.160949,1.211268,1.26077,1.308773,1.355695,1.402517,1.45046,1.500289,1.553371,1.609728,1.668481,1.728233,1.786588,1.842221,1.895744,1.948221,2.0002,2.052787,2.107435,2.164803,2.223438,2.282198,2.341235,2.399318,2.45571,2.511084,2.566319,2.622111,2.678979,2.738244,2.800371,2.864193,2.927977,2.990414,3.051221,3.111166,3.171068,3.230855,3.290699,3.350889,3.411889,3.474601,3.539283,3.605341,3.671628,3.73734,3.801688,3.864548,3.925684,3.98508,4.043909,4.10278,4.162414,4.223766,4.286537,4.350312,4.413256,4.473186,4.530302,4.585115,4.638502,4.691293,4.744317,4.798772
FAIR,FAIR_100,FACTS,0.403341,0.441251,0.474486,0.507552,0.543541,0.584816,0.631326,0.682213,0.735704,0.789197,0.840455,0.888584,0.934242,0.979353,1.02484,1.070989,1.117754,1.165429,1.216427,1.273055,1.332922,1.394124,1.45484,1.514211,1.572074,1.627338,1.680896,1.734499,1.790068,1.848768,1.91274,1.981908,2.054778,2.129032,2.200793,2.267986,2.331834,2.394209,2.456,2.519002,2.585536,2.656599,2.729746,2.80311,2.87695,2.949259,3.018991,3.087362,3.155782,3.225338,3.296822,3.372324,3.452515,3.535418,3.61819,3.698734,3.77664,3.853232,3.929896,4.006547,4.083496,4.161223,4.240483,4.322728,4.408339,4.496311,4.584739,4.672345,4.757947,4.841469,4.922608,5.001418,5.079857,5.158917,5.239759,5.323898,5.410791,5.49973,5.587691,5.671162,5.750546,5.826721,5.901141,5.975144,6.050054,6.127774
FAIR,FAIR_101,FACTS,0.52378,0.576746,0.624136,0.669436,0.716193,0.767262,0.823179,0.88338,0.947253,1.013922,1.082912,1.154026,1.227138,1.302522,1.380255,1.460262,1.541467,1.623052,1.705842,1.790691,1.877153,1.964791,2.053166,2.142021,2.231308,2.320681,2.4102,2.500205,2.591283,2.683843,2.778591,2.875655,2.974715,3.075176,3.175917,3.276232,3.375994,3.475368,3.574613,3.674257,3.775029,3.877335,3.980606,4.084342,4.188619,4.292875,4.396684,4.500273,4.604029,4.708287,4.813323,4.919795,5.028015,5.137527,5.247562,5.357484,5.467245,5.577251,5.68779,5.798759,5.910171,6.022117,6.134779,6.248569,6.363633,6.479721,6.596207,6.712572,6.828349,6.943339,7.057322,7.170175,7.282353,7.394107,7.505758,7.61777,7.730003,7.842246,7.953676,8.063226,8.17088,8.2768,8.381333,8.484859,8.587769,8.690663
FAIR,FAIR_102,FACTS,0.275984,0.301022,0.321108,0.34113,0.364138,0.392239,0.425121,0.461735,0.500297,0.538369,0.573741,0.605619,0.634856,0.663414,0.69217,0.721385,0.751132,0.781792,0.81554,0.854365,0.895775,0.93796,0.979215,1.018879,1.056879,1.092308,1.126174,1.160203,1.196106,1.234833,1.278241,1.326025,1.376647,1.42787,1.476135,1.519728,1.560174,1.599429,1.638298,1.678405,1.721796,1.769204,1.818139,1.866845,1.915614,1.962586,2.006809,2.049473,2.091986,2.135362,2.180305,2.228711,2.281049,2.335335,2.388892,2.43988,2.488049,2.534759,2.58137,2.627794,2.674332,2.721413,2.769725,2.820568,2.874186,2.929542,2.984729,3.038555,3.090054,3.139332,3.186212,3.230872,3.275218,3.320148,3.366691,3.416165,3.467868,3.52104,3.572818,3.620066,3.663416,3.703849,3.742823,3.781581,3.821315,3.863703
FAIR,FAIR_103,FACTS,0.221353,0.236508,0.249603,0.265098,0.284843,0.309492,0.33666,0.364598,0.392112,0.417485,0.439697,0.459019,0.47667,0.4947,0.51359,0.533336,0.554276,0.576955,0.603104,0.634044,0.666444,0.698727,0.729353,0.758336,0.785826,0.811258,0.835786,0.861102,0.888634,0.918903,0.953391,0.991123,1.030383,1.068972,1.103829,1.134161,1.162773,1.191901,1.221862,1.253881,1.289461,1.328642,1.36837,1.407169,1.445684,1.482158,1.51604,1.548839,1.582068,1.616525,1.652653,1.692098,1.734748,1.778272,1.820134,1.859088,1.895424,1.930884,1.966806,2.002867,2.039297,2.076384,2.114712,2.155372,2.198239,2.242037,2.284667,2.32524,2.36327,2.399392,2.433585,2.466289,2.499454,2.533651,2.569633,2.60833,2.648528,2.689402,2.728042,2.761993,2.792768,2.821672,2.85025,2.879458,2.910196,2.943705
